model name,Accuracy,Loss,Recall,Precision,F1 score,AUROC,ECE,timestamp
Resnet50_0,0.000(0.000-0.000),1.307(1.306-1.308),0.000(0.000-0.000),0.000(0.000-0.000),0.000(0.000-0.000),0.000(0.000-0.000),0.7294,2026-05-28 10:52:56
DenseNet121_0,0.008(0.000-0.020),1.298(1.292-1.303),0.008(0.000-0.021),0.005(0.000-0.013),0.006(0.000-0.016),0.000(0.000-0.000),0.7217,2026-05-28 10:55:56
Resnet50_1,1.000(1.000-1.000),0.315(0.314-0.315),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),,2026-04-23 09:39:03
DenseNet121_1,1.000(1.000-1.000),0.320(0.318-0.323),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),,2026-04-23 09:39:25
Resnet50_2,1.000(1.000-1.000),0.317(0.316-0.318),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),,2026-04-23 10:07:29
DenseNet121_2,1.000(1.000-1.000),0.315(0.314-0.315),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),,2026-04-23 10:41:57
maxvit_0,0.500(0.499-0.500),5.837(5.683-6.002),0.500(0.499-0.500),0.234(0.226-0.241),0.319(0.312-0.326),0.216(0.202-0.230),,2026-05-28 02:16:13
internimage_0,0.500(0.500-0.500),0.626(0.613-0.639),0.500(0.500-0.500),0.340(0.331-0.348),0.405(0.399-0.411),0.774(0.758-0.791),,2026-05-22 09:46:33
maxvit_1,0.994(0.990-0.997),0.011(0.008-0.015),0.994(0.990-0.997),0.997(0.995-0.999),0.995(0.992-0.998),1.000(1.000-1.000),,2026-05-22 09:53:32
internimage_1,0.500(0.500-0.500),0.629(0.620-0.640),0.500(0.500-0.500),0.340(0.331-0.348),0.405(0.399-0.411),0.798(0.782-0.814),,2026-05-22 10:02:24
maxvit_2,0.967(0.958-0.974),0.075(0.067-0.085),0.966(0.958-0.974),0.970(0.964-0.977),0.969(0.961-0.975),0.996(0.995-0.997),,2026-05-22 10:09:29
internimage_2,0.500(0.500-0.500),0.628(0.616-0.639),0.500(0.500-0.500),0.340(0.332-0.348),0.405(0.399-0.410),0.793(0.777-0.807),,2026-05-23 05:20:44
efficientnetv2_proposal_0,1.000(1.000-1.000),0.003(0.003-0.004),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),0.0034,2026-05-28 11:10:03
nextvit_0,1.000(1.000-1.000),0.001(0.001-0.001),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),0.0010,2026-05-28 11:15:50
efficientnetv2_0,1.000(1.000-1.000),0.009(0.009-0.010),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),0.0090,2026-05-28 11:03:01
efficientnetv2_proposal_1,0.804(0.793-0.815),0.817(0.781-0.852),0.804(0.793-0.816),0.769(0.757-0.781),0.738(0.721-0.754),0.782(0.767-0.798),,2026-05-23 08:11:18
nextvit_1,0.730(0.714-0.746),1.085(1.020-1.153),0.730(0.714-0.746),0.700(0.686-0.715),0.690(0.673-0.706),0.759(0.741-0.775),,2026-05-23 08:13:03
efficientnetv2_1,0.788(0.775-0.802),0.921(0.884-0.955),0.789(0.775-0.802),0.752(0.738-0.766),0.733(0.717-0.749),0.855(0.842-0.868),,2026-05-23 08:14:04
efficientnetv2_proposal_2,0.794(0.782-0.806),0.878(0.842-0.916),0.793(0.781-0.804),0.762(0.750-0.775),0.725(0.707-0.742),0.787(0.771-0.802),,2026-05-23 08:15:04
nextvit_2,0.791(0.779-0.804),1.770(1.702-1.842),0.791(0.779-0.803),0.757(0.745-0.770),0.727(0.712-0.743),0.845(0.831-0.858),,2026-05-23 08:16:26
efficientnetv2_2,0.880(0.870-0.889),0.447(0.433-0.462),0.880(0.870-0.889),0.831(0.819-0.843),0.830(0.816-0.844),0.911(0.901-0.921),,2026-05-23 08:17:24
