Fold,Method,AUC_XRange,PosAUC,NegAUC,PosAUC_x100,NegAUC_x100,PosCurveMean,NegCurveMean
0,GradCAM,0.1-0.9,0.3289999794960022,0.18399998486042024,32.89999794960022,18.399998486042023,0.250000;0.280000;0.300000;0.350000;0.350000;0.390000;0.550000;0.630000;0.630000,0.190000;0.190000;0.200000;0.200000;0.200000;0.220000;0.220000;0.270000;0.490000
0,Saliency,0.1-0.9,0.5064999815821648,0.45049997881054876,50.64999815821648,45.04999788105488,0.330000;0.540000;0.590000;0.650000;0.660000;0.680000;0.730000;0.740000;0.620000,0.300000;0.400000;0.490000;0.610000;0.610000;0.630000;0.650000;0.650000;0.630000
1,GradCAM,0.1-0.9,0.27099999200552705,0.1774999913573265,27.099999200552706,17.74999913573265,0.270000;0.220000;0.280000;0.270000;0.410000;0.410000;0.400000;0.400000;0.370000,0.270000;0.270000;0.270000;0.240000;0.200000;0.180000;0.180000;0.150000;0.300000
1,Saliency,0.1-0.9,0.48849998254328963,0.3914999860152602,48.849998254328966,39.14999860152602,0.530000;0.580000;0.590000;0.620000;0.640000;0.680000;0.590000;0.630000;0.580000,0.270000;0.360000;0.450000;0.520000;0.560000;0.540000;0.530000;0.550000;0.540000
2,GradCAM,0.1-0.9,0.4359999781847,0.2789999797940254,43.59999781847,27.899997979402542,0.290000;0.350000;0.440000;0.500000;0.600000;0.640000;0.660000;0.680000;0.690000,0.280000;0.300000;0.300000;0.310000;0.330000;0.310000;0.320000;0.440000;0.680000
2,Saliency,0.1-0.9,0.5199999821186065,0.38449997574090955,51.99999821186066,38.44999757409096,0.330000;0.610000;0.670000;0.680000;0.680000;0.680000;0.680000;0.690000;0.690000,0.300000;0.300000;0.300000;0.340000;0.450000;0.590000;0.680000;0.690000;0.690000
CV_MEAN,GradCAM,0.1-0.9,0.3453333165620764,0.21349998533725736,34.533331656207636,21.349998533725735,,
CV_MEAN,Saliency,0.1-0.9,0.5049999820813537,0.4088333135222395,50.499998208135366,40.88333135222395,,
ALL,GradCAM,0.1-0.9,0.3453333165620764,0.2134999853372574,34.533331656207636,21.34999853372574,,
ALL,Saliency,0.1-0.9,0.5049999820813537,0.4088333135222395,50.499998208135366,40.88333135222395,,
