Fold,Method,AUC_XRange,PosAUC,NegAUC,PosAUC_x100,NegAUC_x100,PosCurveMean,NegCurveMean
0,LIME,0.1-0.9,0.34349997907876967,0.24649998534470796,34.34999790787697,24.649998534470797,0.340000;0.330000;0.340000;0.390000;0.430000;0.490000;0.500000;0.500000;0.570000,0.210000;0.230000;0.260000;0.310000;0.300000;0.300000;0.330000;0.390000;0.480000
0,SHAP,0.1-0.9,0.151999990940094,0.151999990940094,15.199999094009401,15.199999094009401,0.190000;0.190000;0.190000;0.190000;0.190000;0.190000;0.190000;0.190000;0.190000,0.190000;0.190000;0.190000;0.190000;0.190000;0.190000;0.190000;0.190000;0.190000
1,LIME,0.1-0.9,0.3824999863281846,0.30749998703598974,38.24999863281846,30.749998703598973,0.370000;0.410000;0.410000;0.470000;0.520000;0.550000;0.520000;0.510000;0.500000,0.260000;0.300000;0.380000;0.440000;0.450000;0.380000;0.390000;0.410000;0.390000
1,SHAP,0.1-0.9,0.21599998712539673,0.21599998712539673,21.599998712539673,21.599998712539673,0.270000;0.270000;0.270000;0.270000;0.270000;0.270000;0.270000;0.270000;0.270000,0.270000;0.270000;0.270000;0.270000;0.270000;0.270000;0.270000;0.270000;0.270000
2,LIME,0.1-0.9,0.4829999778419733,0.3169999760389328,48.29999778419733,31.69999760389328,0.310000;0.410000;0.540000;0.630000;0.680000;0.690000;0.690000;0.690000;0.690000,0.290000;0.290000;0.290000;0.300000;0.330000;0.400000;0.470000;0.600000;0.690000
2,SHAP,0.1-0.9,0.2319999861717224,0.2319999861717224,23.19999861717224,23.19999861717224,0.290000;0.290000;0.290000;0.290000;0.290000;0.290000;0.290000;0.290000;0.290000,0.290000;0.290000;0.290000;0.290000;0.290000;0.290000;0.290000;0.290000;0.290000
CV_MEAN,LIME,0.1-0.9,0.40299998108297586,0.29033331613987684,40.299998108297586,29.033331613987684,,
CV_MEAN,SHAP,0.1-0.9,0.19999998807907104,0.19999998807907104,19.999998807907104,19.999998807907104,,
ALL,LIME,0.1-0.9,0.40299998108297586,0.29033331613987684,40.299998108297586,29.033331613987684,,
ALL,SHAP,0.1-0.9,0.19999998807907104,0.19999998807907104,19.999998807907104,19.999998807907104,,
