Fold,Method,AUC_XRange,PosAUC,NegAUC,PosAUC_x100,NegAUC_x100,PosCurveMean,NegCurveMean
0,GradCAM,0.1-0.9,0.44849997520446777,0.2854999789595604,44.84999752044678,28.549997895956043,0.500000;0.460000;0.510000;0.520000;0.570000;0.600000;0.630000;0.630000;0.630000,0.230000;0.250000;0.250000;0.260000;0.300000;0.360000;0.420000;0.570000;0.660000
0,Saliency,0.1-0.9,0.5559999686479569,0.5119999760389328,55.599996864795685,51.19999760389328,0.620000;0.660000;0.660000;0.670000;0.670000;0.690000;0.710000;0.780000;0.820000,0.510000;0.630000;0.640000;0.640000;0.650000;0.660000;0.660000;0.660000;0.650000
1,GradCAM,0.1-0.9,0.3854999927803874,0.1784999915957451,38.54999927803874,17.84999915957451,0.390000;0.470000;0.470000;0.520000;0.540000;0.560000;0.480000;0.420000;0.400000,0.190000;0.190000;0.200000;0.210000;0.220000;0.220000;0.230000;0.280000;0.280000
1,Saliency,0.1-0.9,0.5279999854043126,0.3969999876618385,52.79999854043126,39.69999876618385,0.400000;0.550000;0.670000;0.670000;0.700000;0.760000;0.760000;0.720000;0.500000,0.200000;0.260000;0.440000;0.540000;0.630000;0.620000;0.610000;0.560000;0.420000
2,GradCAM,0.1-0.9,0.2644999872148037,0.22599998563528062,26.449998721480373,22.59999856352806,0.290000;0.290000;0.310000;0.300000;0.330000;0.310000;0.370000;0.380000;0.420000,0.270000;0.270000;0.280000;0.270000;0.270000;0.290000;0.290000;0.290000;0.330000
2,Saliency,0.1-0.9,0.36699998054653404,0.40549998447299,36.699998054653406,40.549998447299004,0.310000;0.240000;0.250000;0.350000;0.480000;0.570000;0.660000;0.650000;0.630000,0.280000;0.360000;0.520000;0.580000;0.600000;0.580000;0.530000;0.510000;0.470000
CV_MEAN,GradCAM,0.1-0.9,0.3661666517332196,0.22999998539686203,36.61666517332196,22.999998539686203,,
CV_MEAN,Saliency,0.1-0.9,0.48366664486626787,0.43816664939125377,48.36666448662679,43.816664939125374,,
ALL,GradCAM,0.1-0.9,0.3661666517332196,0.22999998539686203,36.61666517332196,22.999998539686203,,
ALL,Saliency,0.1-0.9,0.4836666448662678,0.43816664939125377,48.36666448662678,43.816664939125374,,
