Fold,Method,AUC_XRange,PosAUC,NegAUC,PosAUC_x100,NegAUC_x100,PosCurveMean,NegCurveMean
0,LIME,0.1-0.9,0.5319999760389328,0.4564999806880951,53.19999760389328,45.64999806880951,0.510000;0.650000;0.650000;0.690000;0.680000;0.690000;0.680000;0.680000;0.690000,0.350000;0.530000;0.530000;0.560000;0.560000;0.610000;0.630000;0.650000;0.640000
0,SHAP,0.1-0.9,0.1919999885559082,0.1919999885559082,19.19999885559082,19.19999885559082,0.240000;0.240000;0.240000;0.240000;0.240000;0.240000;0.240000;0.240000;0.240000,0.240000;0.240000;0.240000;0.240000;0.240000;0.240000;0.240000;0.240000;0.240000
1,LIME,0.1-0.9,0.5279999820515513,0.37899998560547826,52.79999820515513,37.89999856054783,0.570000;0.670000;0.720000;0.720000;0.720000;0.640000;0.640000;0.630000;0.510000,0.320000;0.420000;0.470000;0.520000;0.510000;0.530000;0.490000;0.480000;0.420000
1,SHAP,0.1-0.9,0.151999990940094,0.151999990940094,15.199999094009401,15.199999094009401,0.190000;0.190000;0.190000;0.190000;0.190000;0.190000;0.190000;0.190000;0.190000,0.190000;0.190000;0.190000;0.190000;0.190000;0.190000;0.190000;0.190000;0.190000
2,LIME,0.1-0.9,0.29549998208880424,0.24649998426437378,29.549998208880424,24.649998426437378,0.250000;0.280000;0.320000;0.360000;0.340000;0.350000;0.410000;0.460000;0.620000,0.270000;0.270000;0.270000;0.290000;0.310000;0.320000;0.350000;0.320000;0.400000
2,SHAP,0.1-0.9,0.21599998712539673,0.21599998712539673,21.599998712539673,21.599998712539673,0.270000;0.270000;0.270000;0.270000;0.270000;0.270000;0.270000;0.270000;0.270000,0.270000;0.270000;0.270000;0.270000;0.270000;0.270000;0.270000;0.270000;0.270000
CV_MEAN,LIME,0.1-0.9,0.4518333133930961,0.3606666501859824,45.18333133930961,36.066665018598236,,
CV_MEAN,SHAP,0.1-0.9,0.18666665554046633,0.18666665554046633,18.66666555404663,18.66666555404663,,
ALL,LIME,0.1-0.9,0.4518333133930961,0.3606666501859824,45.18333133930961,36.066665018598236,,
ALL,SHAP,0.1-0.9,0.1866666555404663,0.1866666555404663,18.66666555404663,18.66666555404663,,
