Fold,Method,AUC_XRange,PosAUC,NegAUC,PosAUC_x100,NegAUC_x100,PosCurveMean,NegCurveMean
0,LIME,0.1-0.9,0.5554999768361449,0.5734999771416187,55.54999768361449,57.34999771416187,0.740000;0.720000;0.650000;0.710000;0.700000;0.740000;0.680000;0.660000;0.650000,0.740000;0.760000;0.700000;0.750000;0.740000;0.710000;0.690000;0.730000;0.570000
0,SHAP,0.1-0.9,0.6159999632835388,0.6159999632835388,61.59999632835388,61.59999632835388,0.770000;0.770000;0.770000;0.770000;0.770000;0.770000;0.770000;0.770000;0.770000,0.770000;0.770000;0.770000;0.770000;0.770000;0.770000;0.770000;0.770000;0.770000
1,LIME,0.1-0.9,0.523499973192811,0.6404999784380198,52.34999731928111,64.04999784380198,0.970000;0.780000;0.660000;0.610000;0.600000;0.600000;0.600000;0.600000;0.600000,0.990000;0.950000;0.940000;0.940000;0.890000;0.690000;0.600000;0.600000;0.600000
1,SHAP,0.1-0.9,0.7999999523162842,0.7999999523162842,79.99999523162842,79.99999523162842,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
2,LIME,0.1-0.9,0.5999999853968621,0.7239999695494771,59.9999985396862,72.39999695494771,0.850000;0.820000;0.850000;0.820000;0.780000;0.760000;0.720000;0.600000;0.450000,0.950000;0.930000;0.960000;0.950000;0.950000;0.890000;0.900000;0.800000;0.770000
2,SHAP,0.1-0.9,0.7999999523162842,0.7999999523162842,79.99999523162842,79.99999523162842,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
CV_MEAN,LIME,0.1-0.9,0.5596666451419393,0.6459999750430385,55.96666451419393,64.59999750430386,,
CV_MEAN,SHAP,0.1-0.9,0.7386666226387023,0.7386666226387023,73.86666226387023,73.86666226387023,,
ALL,LIME,0.1-0.9,0.5596666451419393,0.6459999750430385,55.96666451419393,64.59999750430386,,
ALL,SHAP,0.1-0.9,0.7386666226387024,0.7386666226387024,73.86666226387024,73.86666226387024,,
