Fold,Method,AUC_XRange,PosAUC,NegAUC,PosAUC_x100,NegAUC_x100,PosCurveMean,NegCurveMean
0,GradCAM,0.1-0.9,0.7156050634232296,0.7071655720329968,71.56050634232297,70.71655720329969,0.993631;0.993631;0.977707;0.968153;0.945860;0.885350;0.780255;0.748408;0.719745,0.949045;0.917197;0.898089;0.894904;0.894904;0.891720;0.888535;0.869427;0.684713
0,Saliency,0.1-0.9,0.5151273613665134,0.7600318106116762,51.51273613665134,76.00318106116762,0.907643;0.757962;0.662420;0.608280;0.595541;0.592357;0.592357;0.592357;0.592357,0.980892;0.980892;0.980892;0.980892;0.980892;0.980892;0.971338;0.872611;0.722930
1,GradCAM,0.1-0.9,0.563216536881248,0.7501592044807543,56.3216536881248,75.01592044807543,0.984076;0.926752;0.754777;0.751592;0.633758;0.592357;0.592357;0.592357;0.592357,0.984076;0.984076;0.984076;0.984076;0.971338;0.929936;0.914013;0.904459;0.675159
1,Saliency,0.1-0.9,0.551114624508532,0.7627388204738592,55.111462450853196,76.27388204738592,0.933121;0.859873;0.777070;0.707006;0.627389;0.592357;0.592357;0.592357;0.592357,0.984076;0.984076;0.984076;0.984076;0.984076;0.984076;0.958599;0.917197;0.678344
2,GradCAM,0.1-0.9,0.6103833619231424,0.754313063602478,61.03833619231423,75.4313063602478,0.913738;0.910543;0.910543;0.875399;0.731629;0.651757;0.635783;0.623003;0.616613,0.984026;0.984026;0.984026;0.984026;0.984026;0.980831;0.910543;0.856230;0.734824
2,Saliency,0.1-0.9,0.539936075707118,0.7536740882899433,53.9936075707118,75.36740882899433,0.910543;0.888179;0.766773;0.629393;0.591054;0.591054;0.591054;0.591054;0.591054,0.990415;0.990415;0.990415;0.990415;0.990415;0.993610;0.961661;0.811502;0.626198
CV_MEAN,GradCAM,0.1-0.9,0.6297349874092065,0.7372126133720763,62.973498740920654,73.72126133720764,,
CV_MEAN,Saliency,0.1-0.9,0.5353926871940544,0.7588149064584929,53.53926871940544,75.8814906458493,,
ALL,GradCAM,0.1-0.9,0.6297555523672153,0.7371944407363373,62.975555236721526,73.71944407363374,,
ALL,Saliency,0.1-0.9,0.5353878589384614,0.7588203696021365,53.53878589384614,75.88203696021365,,
