Fold,Method,AUC_XRange,PosAUC,NegAUC,PosAUC_x100,NegAUC_x100,PosCurveMean,NegCurveMean
0,LIME,0.1-0.9,0.6514999676495791,0.7704999607801437,65.1499967649579,77.04999607801437,0.900000;0.880000;0.870000;0.850000;0.840000;0.820000;0.770000;0.700000;0.670000,0.980000;0.990000;0.990000;0.990000;0.990000;0.990000;0.970000;0.900000;0.790000
0,SHAP,0.1-0.9,0.7839999532699585,0.7839999532699585,78.39999532699585,78.39999532699585,0.980000;0.980000;0.980000;0.980000;0.980000;0.980000;0.980000;0.980000;0.980000,0.980000;0.980000;0.980000;0.980000;0.980000;0.980000;0.980000;0.980000;0.980000
1,LIME,0.1-0.9,0.6364999717101455,0.7389999693632125,63.64999717101455,73.89999693632126,0.950000;0.920000;0.900000;0.840000;0.800000;0.770000;0.720000;0.640000;0.600000,0.980000;0.980000;0.980000;0.980000;0.980000;0.940000;0.910000;0.820000;0.620000
1,SHAP,0.1-0.9,0.7839999532699585,0.7839999532699585,78.39999532699585,78.39999532699585,0.980000;0.980000;0.980000;0.980000;0.980000;0.980000;0.980000;0.980000;0.980000,0.980000;0.980000;0.980000;0.980000;0.980000;0.980000;0.980000;0.980000;0.980000
2,LIME,0.1-0.9,0.5519999767839908,0.7539999629929661,55.19999767839908,75.39999629929662,0.900000;0.860000;0.790000;0.720000;0.680000;0.630000;0.570000;0.550000;0.540000,0.980000;0.970000;0.970000;0.970000;0.970000;0.960000;0.940000;0.890000;0.760000
2,SHAP,0.1-0.9,0.7999999523162842,0.7999999523162842,79.99999523162842,79.99999523162842,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
CV_MEAN,LIME,0.1-0.9,0.6133333053812384,0.7544999643787742,61.333330538123846,75.44999643787742,,
CV_MEAN,SHAP,0.1-0.9,0.7893332862854004,0.7893332862854004,78.93332862854004,78.93332862854004,,
ALL,LIME,0.1-0.9,0.6133333053812384,0.7544999643787742,61.333330538123846,75.44999643787742,,
ALL,SHAP,0.1-0.9,0.7893332862854003,0.7893332862854003,78.93332862854004,78.93332862854004,,
