Class,Model,NoiseLevel,Acc,BA,Loss,AUROC,AUPR,F1 Score,Precision,Recall,Fold
fireimage,nextvit,0.1,1.0,1.0,0.010220398516527668,1.0,0.9999999999999999,1.0,1.0,1.0,0
fireimage,nextvit,0.2,1.0,1.0,0.008234847338861269,1.0,0.9999999999999999,1.0,1.0,1.0,0
fireimage,nextvit,0.3,0.9904458598726115,0.98828125,0.03523487926966505,0.9947076612903226,0.9940186119587748,0.992,0.9841269841269841,1.0,0
fireimage,nextvit,0.4,0.9617834394904459,0.953125,0.15654311874350474,0.9896673387096774,0.989286050995918,0.96875,0.9393939393939394,1.0,0
fireimage,nextvit,0.5,0.9171974522292994,0.8984375,0.3499021555317839,0.9367439516129031,0.9382057148643823,0.9346733668341709,0.8773584905660378,1.0,0
fireimage,nextvit,0.1,0.9840764331210191,0.98046875,0.036140009339963336,1.0,1.0,0.986737400530504,0.9738219895287958,1.0,1
fireimage,nextvit,0.2,0.9840764331210191,0.98046875,0.035236580843557484,1.0,1.0,0.986737400530504,0.9738219895287958,1.0,1
fireimage,nextvit,0.3,0.9840764331210191,0.98046875,0.03859259810033225,1.0,0.9999999999999999,0.986737400530504,0.9738219895287958,1.0,1
fireimage,nextvit,0.4,0.9808917197452229,0.9765625,0.042863881283671044,1.0,0.9999999999999999,0.9841269841269841,0.96875,1.0,1
fireimage,nextvit,0.5,0.9808917197452229,0.9765625,0.051848238221351886,1.0,0.9999999999999999,0.9841269841269841,0.96875,1.0,1
fireimage,nextvit,0.1,1.0,1.0,0.0006060288496912062,1.0,1.0,1.0,1.0,1.0,2
fireimage,nextvit,0.2,1.0,1.0,0.0008749488508514763,1.0,1.0,1.0,1.0,1.0,2
fireimage,nextvit,0.3,1.0,1.0,0.004897885277276686,1.0,1.0,1.0,1.0,1.0,2
fireimage,nextvit,0.4,0.9808306709265175,0.9765625,0.048389214128196335,1.0,1.0,0.9840425531914894,0.9685863874345549,1.0,2
fireimage,nextvit,0.5,0.9648562300319489,0.95703125,0.12611800973090126,0.9997888513513513,0.9998531053055733,0.9711286089238845,0.9438775510204082,1.0,2
fireimage,nextvit,0.1,0.994692144373673,0.9934895833333334,0.015655478902060736,1.0,1.0,0.995579133510168,0.9912739965095986,1.0,CV_MEAN
fireimage,nextvit,0.2,0.994692144373673,0.9934895833333334,0.014782125677756741,1.0,1.0,0.995579133510168,0.9912739965095986,1.0,CV_MEAN
fireimage,nextvit,0.3,0.9915074309978769,0.9895833333333334,0.02624178754909133,0.9982358870967741,0.9980062039862583,0.9929124668435013,0.9859829912185933,1.0,CV_MEAN
fireimage,nextvit,0.4,0.9745019433873955,0.96875,0.0825987380517907,0.9965557795698925,0.996428683665306,0.9789731791061578,0.9589101089428315,1.0,CV_MEAN
fireimage,nextvit,0.5,0.9543151340021571,0.9440104166666666,0.17595613449467903,0.9788442676547514,0.9793529400566517,0.9633096532950131,0.929995347195482,1.0,CV_MEAN
