Class,Model,Ratio,Acc,BA,Loss,AUROC,AUPR,F1 Score,Precision,Recall,Fold
fireimage,efficientnetv2,10:90,1.0,1.0,0.008294349043380196,1.0,1.0,1.0,1.0,1.0,0
fireimage,efficientnetv2,30:70,1.0,1.0,0.006840656031713341,1.0,1.0,1.0,1.0,1.0,0
fireimage,efficientnetv2,50:50,1.0,1.0,0.004675566451624036,1.0,1.0,1.0,1.0,1.0,0
fireimage,efficientnetv2,70:30,1.0,1.0,0.003115202053269958,1.0,0.9999999999999999,1.0,1.0,1.0,0
fireimage,efficientnetv2,90:10,1.0,1.0,0.0052249807623340515,1.0,0.9999999999999998,1.0,1.0,1.0,0
fireimage,efficientnetv2,10:90,1.0,1.0,0.00940750010379749,1.0,0.9999999999999999,1.0,1.0,1.0,1
fireimage,efficientnetv2,30:70,1.0,1.0,0.014890812563173698,1.0,1.0,1.0,1.0,1.0,1
fireimage,efficientnetv2,50:50,1.0,1.0,0.02025129075627774,1.0,1.0,1.0,1.0,1.0,1
fireimage,efficientnetv2,70:30,1.0,1.0,0.026713594835436807,1.0,0.9999999999999999,1.0,1.0,1.0,1
fireimage,efficientnetv2,90:10,1.0,1.0,0.03273568432513915,1.0,0.9999999999999998,1.0,1.0,1.0,1
fireimage,efficientnetv2,10:90,1.0,1.0,0.023665995188696564,1.0,1.0,1.0,1.0,1.0,2
fireimage,efficientnetv2,30:70,1.0,1.0,0.02315741513427276,1.0,1.0,1.0,1.0,1.0,2
fireimage,efficientnetv2,50:50,1.0,1.0,0.02759222232270986,1.0,1.0,1.0,1.0,1.0,2
fireimage,efficientnetv2,70:30,1.0,1.0,0.024945374979580964,1.0,0.9999999999999999,1.0,1.0,1.0,2
fireimage,efficientnetv2,90:10,1.0,1.0,0.031636920024422886,1.0,0.9999999999999998,1.0,1.0,1.0,2
fireimage,efficientnetv2,10:90,1.0,1.0,0.013789281445291417,1.0,1.0,1.0,1.0,1.0,CV_MEAN
fireimage,efficientnetv2,30:70,1.0,1.0,0.014962961243053267,1.0,1.0,1.0,1.0,1.0,CV_MEAN
fireimage,efficientnetv2,50:50,1.0,1.0,0.01750635984353721,1.0,1.0,1.0,1.0,1.0,CV_MEAN
fireimage,efficientnetv2,70:30,1.0,1.0,0.018258057289429242,1.0,0.9999999999999999,1.0,1.0,1.0,CV_MEAN
fireimage,efficientnetv2,90:10,1.0,1.0,0.023199195037298698,1.0,0.9999999999999997,1.0,1.0,1.0,CV_MEAN
